pile_length_m,0.3_circular,0.3_rectangular,0.35_circular,0.35_rectangular,0.4_circular,0.4_rectangular
9.0,286.4444760639073,364.7124342955115,371.22948974157975,472.6640665108359,468.2636898108174,596.2118472307328
9.1,300.46609229468123,382.5653105616333,393.63093314316984,501.18647010888685,497.547480227487,633.497127208973
9.2,308.6249772865382,392.9535255742117,414.6334662246883,527.9277257678847,525.9595018374795,669.6724366686855
9.3,305.64513032862743,389.15946659014105,411.83258432764586,524.3615321764373,524.1404183954616,667.3563076951351
9.4,314.9267731588111,400.97722128163855,422.4226361606177,537.8452049509722,541.0071248673424,688.8316653645745
9.5,319.22104428220774,406.44485709176126,425.0098502769832,541.1393482746256,544.15311464839,692.8372639611368
9.6,313.49772833733067,399.1577049037306,413.79367033264555,526.8584644286296,530.9897604443347,676.077160847178
9.7,314.4894131463394,400.4203572184736,418.4071387171678,532.732514814189,535.7998362054308,682.2015395193775
9.8,316.2406684463658,402.65012471939417,421.6203771289514,536.8237370267337,542.5386136297438,690.7816174191814
9.9,341.84096677373816,435.2454369068223,456.86965630211415,581.7045131934142,597.0457009170414,760.1821964216997
10.0,357.6384264767633,455.359387307074,479.18783575577294,610.1209018403083,628.779121727718,800.5864426875752
10.1,337.98332706817934,430.3337374843644,448.87263842698263,571.5223937948426,581.6933339865759,740.6349557405468
10.2,349.7701000695535,445.3411229745306,465.1231466323694,592.2131834639844,601.9853391631609,766.4715391733458
10.3,376.136912375818,478.91239107147635,496.5093932836504,632.1753938612069,641.1669883509953,816.3591643472366
10.4,381.34934729744765,485.5490693380536,502.9138824758324,640.3298427645218,650.9253828643887,828.7839381348159
10.5,386.5820062436869,492.2114976325177,515.1989325590362,655.9716543395091,662.0575189582327,842.9578140268718
10.6,389.5048420473382,495.9329677604942,518.0290283877357,659.5750442639996,663.1303639066431,844.3238026405572
10.7,388.6866569480885,494.8912221372167,507.9998395439278,646.8054844264464,645.0713345191822,821.3303322849074
10.8,391.80243168966746,498.85834975068184,508.6798459406553,647.6712954614328,643.6562452463743,819.528584663438
10.9,387.3606234546774,493.2028638557622,502.71174218643404,640.0724697544761,632.1117690847797,804.8297010912436
11.0,401.8217836717677,511.6153849069126,522.2713079012705,664.9764823004515,659.954151974404,840.2797240059707
11.1,391.11279557819995,497.9802777820839,504.50841004615296,642.3600583222247,631.6417022371451,804.2311933921658
11.2,404.4386450456859,514.9472762912751,518.976771766521,660.7817486121296,645.7609566393642,822.2083864392478
11.3,405.97389644466233,516.9020190835619,522.0339685695417,664.6742924777735,650.6292117253092,828.4068413285307
11.4,405.5410977619832,516.3509626858656,521.9489943820361,664.5660999819597,649.2584289607294,826.6615065054262
11.5,401.0320615060768,510.6098794162009,516.4674058873562,657.5867247425679,643.6815430736738,819.5607948575516
11.6,406.0641855899189,517.016978793763,523.6013991928511,666.6700071309999,654.0316184395092,832.7389201043222
11.7,408.21755810254706,519.7587378313867,524.1293268867156,667.3421855475893,658.8812902845126,838.9137140763696
11.8,401.3005224266083,510.95169447643775,515.5737432081138,656.4488780797024,646.5874142024115,823.2606648905645
11.9,387.35790805205,493.1994064977571,499.2008160843536,635.6022198026643,625.9477202073965,796.9813903048785
12.0,385.7727958445387,491.1811789523112,496.88633268060516,632.6553280073784,623.859367408219,794.3224169376076
12.1,398.7401254127393,507.69169574815766,516.2113239182149,657.2606710527635,648.2140386383221,825.3317474467983
12.2,400.5723060047792,510.02450053103934,519.4412020350073,661.3730795957385,648.3759431882552,825.5378907222457
12.3,401.07368908804295,510.6628812997119,520.0521026487627,662.1509024150746,650.5019291303912,828.2447800953244
12.4,409.2351708918521,521.054402675958,530.9770331505861,676.0609559534797,661.9163863401994,842.7781183965399
